Date,State/Union_Territory,Total Dose
16-01-2021,Andaman and Nicobar Islands,23
17-01-2021,Andaman and Nicobar Islands,0
18-01-2021,Andaman and Nicobar Islands,19
19-01-2021,Andaman and Nicobar Islands,47
20-01-2021,Andaman and Nicobar Islands,35
21-01-2021,Andaman and Nicobar Islands,115
22-01-2021,Andaman and Nicobar Islands,313
23-01-2021,Andaman and Nicobar Islands,368
24-01-2021,Andaman and Nicobar Islands,46
25-01-2021,Andaman and Nicobar Islands,553
26-01-2021,Andaman and Nicobar Islands,0
27-01-2021,Andaman and Nicobar Islands,0
28-01-2021,Andaman and Nicobar Islands,437
29-01-2021,Andaman and Nicobar Islands,68
30-01-2021,Andaman and Nicobar Islands,36
31-01-2021,Andaman and Nicobar Islands,0
01-02-2021,Andaman and Nicobar Islands,0
02-02-2021,Andaman and Nicobar Islands,0
03-02-2021,Andaman and Nicobar Islands,47
04-02-2021,Andaman and Nicobar Islands,183
05-02-2021,Andaman and Nicobar Islands,224
06-02-2021,Andaman and Nicobar Islands,266
07-02-2021,Andaman and Nicobar Islands,0
08-02-2021,Andaman and Nicobar Islands,0
09-02-2021,Andaman and Nicobar Islands,0
10-02-2021,Andaman and Nicobar Islands,0
11-02-2021,Andaman and Nicobar Islands,0
12-02-2021,Andaman and Nicobar Islands,72
13-02-2021,Andaman and Nicobar Islands,188
14-02-2021,Andaman and Nicobar Islands,0
15-02-2021,Andaman and Nicobar Islands,427
16-02-2021,Andaman and Nicobar Islands,0
17-02-2021,Andaman and Nicobar Islands,197
18-02-2021,Andaman and Nicobar Islands,182
19-02-2021,Andaman and Nicobar Islands,1052
20-02-2021,Andaman and Nicobar Islands,755
21-02-2021,Andaman and Nicobar Islands,0
22-02-2021,Andaman and Nicobar Islands,1203
23-02-2021,Andaman and Nicobar Islands,202
24-02-2021,Andaman and Nicobar Islands,182
25-02-2021,Andaman and Nicobar Islands,523
26-02-2021,Andaman and Nicobar Islands,226
27-02-2021,Andaman and Nicobar Islands,0
28-02-2021,Andaman and Nicobar Islands,0
01-03-2021,Andaman and Nicobar Islands,0
02-03-2021,Andaman and Nicobar Islands,735
03-03-2021,Andaman and Nicobar Islands,113
04-03-2021,Andaman and Nicobar Islands,524
05-03-2021,Andaman and Nicobar Islands,536
06-03-2021,Andaman and Nicobar Islands,601
07-03-2021,Andaman and Nicobar Islands,603
08-03-2021,Andaman and Nicobar Islands,903
09-03-2021,Andaman and Nicobar Islands,-2072
10-03-2021,Andaman and Nicobar Islands,229
11-03-2021,Andaman and Nicobar Islands,543
12-03-2021,Andaman and Nicobar Islands,617
13-03-2021,Andaman and Nicobar Islands,317
14-03-2021,Andaman and Nicobar Islands,55
15-03-2021,Andaman and Nicobar Islands,352
16-03-2021,Andaman and Nicobar Islands,2781
17-03-2021,Andaman and Nicobar Islands,663
18-03-2021,Andaman and Nicobar Islands,642
19-03-2021,Andaman and Nicobar Islands,481
20-03-2021,Andaman and Nicobar Islands,839
21-03-2021,Andaman and Nicobar Islands,27
22-03-2021,Andaman and Nicobar Islands,607
23-03-2021,Andaman and Nicobar Islands,1036
24-03-2021,Andaman and Nicobar Islands,572
25-03-2021,Andaman and Nicobar Islands,625
26-03-2021,Andaman and Nicobar Islands,471
27-03-2021,Andaman and Nicobar Islands,567
28-03-2021,Andaman and Nicobar Islands,2
29-03-2021,Andaman and Nicobar Islands,-1
30-03-2021,Andaman and Nicobar Islands,483
31-03-2021,Andaman and Nicobar Islands,98
01-04-2021,Andaman and Nicobar Islands,670
02-04-2021,Andaman and Nicobar Islands,130
03-04-2021,Andaman and Nicobar Islands,483
04-04-2021,Andaman and Nicobar Islands,680
05-04-2021,Andaman and Nicobar Islands,873
06-04-2021,Andaman and Nicobar Islands,992
07-04-2021,Andaman and Nicobar Islands,2212
08-04-2021,Andaman and Nicobar Islands,2788
09-04-2021,Andaman and Nicobar Islands,2451
10-04-2021,Andaman and Nicobar Islands,2216
11-04-2021,Andaman and Nicobar Islands,2191
12-04-2021,Andaman and Nicobar Islands,4661
13-04-2021,Andaman and Nicobar Islands,6560
14-04-2021,Andaman and Nicobar Islands,6750
15-04-2021,Andaman and Nicobar Islands,5262
16-04-2021,Andaman and Nicobar Islands,6805
17-04-2021,Andaman and Nicobar Islands,6357
18-04-2021,Andaman and Nicobar Islands,4134
19-04-2021,Andaman and Nicobar Islands,4875
20-04-2021,Andaman and Nicobar Islands,3882
21-04-2021,Andaman and Nicobar Islands,2162
22-04-2021,Andaman and Nicobar Islands,2761
23-04-2021,Andaman and Nicobar Islands,2333
24-04-2021,Andaman and Nicobar Islands,1927
25-04-2021,Andaman and Nicobar Islands,1299
26-04-2021,Andaman and Nicobar Islands,1717
27-04-2021,Andaman and Nicobar Islands,1462
28-04-2021,Andaman and Nicobar Islands,1199
29-04-2021,Andaman and Nicobar Islands,1228
30-04-2021,Andaman and Nicobar Islands,1376
01-05-2021,Andaman and Nicobar Islands,716
02-05-2021,Andaman and Nicobar Islands,195
03-05-2021,Andaman and Nicobar Islands,965
04-05-2021,Andaman and Nicobar Islands,768
05-05-2021,Andaman and Nicobar Islands,937
06-05-2021,Andaman and Nicobar Islands,1105
07-05-2021,Andaman and Nicobar Islands,1101
08-05-2021,Andaman and Nicobar Islands,1007
09-05-2021,Andaman and Nicobar Islands,117
10-05-2021,Andaman and Nicobar Islands,1118
11-05-2021,Andaman and Nicobar Islands,616
12-05-2021,Andaman and Nicobar Islands,603
13-05-2021,Andaman and Nicobar Islands,778
14-05-2021,Andaman and Nicobar Islands,98
15-05-2021,Andaman and Nicobar Islands,690
16-05-2021,Andaman and Nicobar Islands,0
17-05-2021,Andaman and Nicobar Islands,439
18-05-2021,Andaman and Nicobar Islands,284
19-05-2021,Andaman and Nicobar Islands,516
20-05-2021,Andaman and Nicobar Islands,753
21-05-2021,Andaman and Nicobar Islands,770
22-05-2021,Andaman and Nicobar Islands,811
23-05-2021,Andaman and Nicobar Islands,383
24-05-2021,Andaman and Nicobar Islands,451
25-05-2021,Andaman and Nicobar Islands,687
26-05-2021,Andaman and Nicobar Islands,809
27-05-2021,Andaman and Nicobar Islands,618
28-05-2021,Andaman and Nicobar Islands,757
29-05-2021,Andaman and Nicobar Islands,1017
30-05-2021,Andaman and Nicobar Islands,242
31-05-2021,Andaman and Nicobar Islands,543
01-06-2021,Andaman and Nicobar Islands,739
02-06-2021,Andaman and Nicobar Islands,507
03-06-2021,Andaman and Nicobar Islands,686
04-06-2021,Andaman and Nicobar Islands,513
05-06-2021,Andaman and Nicobar Islands,481
06-06-2021,Andaman and Nicobar Islands,8
07-06-2021,Andaman and Nicobar Islands,557
08-06-2021,Andaman and Nicobar Islands,436
09-06-2021,Andaman and Nicobar Islands,303
10-06-2021,Andaman and Nicobar Islands,904
11-06-2021,Andaman and Nicobar Islands,771
12-06-2021,Andaman and Nicobar Islands,887
13-06-2021,Andaman and Nicobar Islands,3
14-06-2021,Andaman and Nicobar Islands,941
15-06-2021,Andaman and Nicobar Islands,935
16-06-2021,Andaman and Nicobar Islands,992
17-06-2021,Andaman and Nicobar Islands,966
18-06-2021,Andaman and Nicobar Islands,953
19-06-2021,Andaman and Nicobar Islands,857
20-06-2021,Andaman and Nicobar Islands,1
21-06-2021,Andaman and Nicobar Islands,787
22-06-2021,Andaman and Nicobar Islands,2801
23-06-2021,Andaman and Nicobar Islands,3938
24-06-2021,Andaman and Nicobar Islands,5084
25-06-2021,Andaman and Nicobar Islands,4782
26-06-2021,Andaman and Nicobar Islands,5530
27-06-2021,Andaman and Nicobar Islands,1695
28-06-2021,Andaman and Nicobar Islands,4596
29-06-2021,Andaman and Nicobar Islands,5669
30-06-2021,Andaman and Nicobar Islands,4703
01-07-2021,Andaman and Nicobar Islands,2209
02-07-2021,Andaman and Nicobar Islands,2719
03-07-2021,Andaman and Nicobar Islands,2882
04-07-2021,Andaman and Nicobar Islands,412
05-07-2021,Andaman and Nicobar Islands,4913
06-07-2021,Andaman and Nicobar Islands,7047
07-07-2021,Andaman and Nicobar Islands,6390
08-07-2021,Andaman and Nicobar Islands,5729
09-07-2021,Andaman and Nicobar Islands,7131
10-07-2021,Andaman and Nicobar Islands,6858
11-07-2021,Andaman and Nicobar Islands,476
12-07-2021,Andaman and Nicobar Islands,7391
13-07-2021,Andaman and Nicobar Islands,6195
14-07-2021,Andaman and Nicobar Islands,10024
15-07-2021,Andaman and Nicobar Islands,4478
16-07-2021,Andaman and Nicobar Islands,3667
17-07-2021,Andaman and Nicobar Islands,3057
18-07-2021,Andaman and Nicobar Islands,239
19-07-2021,Andaman and Nicobar Islands,3149
20-07-2021,Andaman and Nicobar Islands,4440
21-07-2021,Andaman and Nicobar Islands,55
22-07-2021,Andaman and Nicobar Islands,4910
23-07-2021,Andaman and Nicobar Islands,4713
24-07-2021,Andaman and Nicobar Islands,3818
25-07-2021,Andaman and Nicobar Islands,644
26-07-2021,Andaman and Nicobar Islands,3127
27-07-2021,Andaman and Nicobar Islands,3890
28-07-2021,Andaman and Nicobar Islands,3945
29-07-2021,Andaman and Nicobar Islands,3397
30-07-2021,Andaman and Nicobar Islands,2698
31-07-2021,Andaman and Nicobar Islands,2073
01-08-2021,Andaman and Nicobar Islands,2398
02-08-2021,Andaman and Nicobar Islands,1359
03-08-2021,Andaman and Nicobar Islands,1416
04-08-2021,Andaman and Nicobar Islands,1587
05-08-2021,Andaman and Nicobar Islands,1285
06-08-2021,Andaman and Nicobar Islands,1163
07-08-2021,Andaman and Nicobar Islands,1093
08-08-2021,Andaman and Nicobar Islands,79
09-08-2021,Andaman and Nicobar Islands,1294
10-08-2021,Andaman and Nicobar Islands,1344
11-08-2021,Andaman and Nicobar Islands,2823
12-08-2021,Andaman and Nicobar Islands,4928
13-08-2021,Andaman and Nicobar Islands,5085
14-08-2021,Andaman and Nicobar Islands,5173
15-08-2021,Andaman and Nicobar Islands,238
16-08-2021,Andaman and Nicobar Islands,2148
17-08-2021,Andaman and Nicobar Islands,1790
18-08-2021,Andaman and Nicobar Islands,1744
19-08-2021,Andaman and Nicobar Islands,102
20-08-2021,Andaman and Nicobar Islands,1819
21-08-2021,Andaman and Nicobar Islands,812
22-08-2021,Andaman and Nicobar Islands,155
23-08-2021,Andaman and Nicobar Islands,4115
24-08-2021,Andaman and Nicobar Islands,3772
25-08-2021,Andaman and Nicobar Islands,3870
26-08-2021,Andaman and Nicobar Islands,2704
27-08-2021,Andaman and Nicobar Islands,2358
28-08-2021,Andaman and Nicobar Islands,3389
29-08-2021,Andaman and Nicobar Islands,298
30-08-2021,Andaman and Nicobar Islands,1471
31-08-2021,Andaman and Nicobar Islands,2472
01-09-2021,Andaman and Nicobar Islands,2027
02-09-2021,Andaman and Nicobar Islands,1905
03-09-2021,Andaman and Nicobar Islands,1408
04-09-2021,Andaman and Nicobar Islands,1753
05-09-2021,Andaman and Nicobar Islands,86
06-09-2021,Andaman and Nicobar Islands,1851
07-09-2021,Andaman and Nicobar Islands,2039
08-09-2021,Andaman and Nicobar Islands,2102
09-09-2021,Andaman and Nicobar Islands,2779
10-09-2021,Andaman and Nicobar Islands,1864
11-09-2021,Andaman and Nicobar Islands,2314
12-09-2021,Andaman and Nicobar Islands,2384
13-09-2021,Andaman and Nicobar Islands,2462
14-09-2021,Andaman and Nicobar Islands,3886
15-09-2021,Andaman and Nicobar Islands,5582
16-09-2021,Andaman and Nicobar Islands,3969
17-09-2021,Andaman and Nicobar Islands,10475
18-09-2021,Andaman and Nicobar Islands,2813
19-09-2021,Andaman and Nicobar Islands,2690
20-09-2021,Andaman and Nicobar Islands,3971
21-09-2021,Andaman and Nicobar Islands,4530
22-09-2021,Andaman and Nicobar Islands,3837
23-09-2021,Andaman and Nicobar Islands,2403
24-09-2021,Andaman and Nicobar Islands,2002
25-09-2021,Andaman and Nicobar Islands,2153
26-09-2021,Andaman and Nicobar Islands,93
27-09-2021,Andaman and Nicobar Islands,1868
28-09-2021,Andaman and Nicobar Islands,1309
29-09-2021,Andaman and Nicobar Islands,1772
30-09-2021,Andaman and Nicobar Islands,1362
01-10-2021,Andaman and Nicobar Islands,1300
02-10-2021,Andaman and Nicobar Islands,52
03-10-2021,Andaman and Nicobar Islands,53
04-10-2021,Andaman and Nicobar Islands,2942
05-10-2021,Andaman and Nicobar Islands,2478
06-10-2021,Andaman and Nicobar Islands,2617
07-10-2021,Andaman and Nicobar Islands,2075
08-10-2021,Andaman and Nicobar Islands,1791
09-10-2021,Andaman and Nicobar Islands,1758
10-10-2021,Andaman and Nicobar Islands,148
11-10-2021,Andaman and Nicobar Islands,1569
12-10-2021,Andaman and Nicobar Islands,2121
13-10-2021,Andaman and Nicobar Islands,920
14-10-2021,Andaman and Nicobar Islands,1672
15-10-2021,Andaman and Nicobar Islands,135
16-10-2021,Andaman and Nicobar Islands,2542
17-10-2021,Andaman and Nicobar Islands,13
18-10-2021,Andaman and Nicobar Islands,2943
19-10-2021,Andaman and Nicobar Islands,2555
20-10-2021,Andaman and Nicobar Islands,136
21-10-2021,Andaman and Nicobar Islands,3781
22-10-2021,Andaman and Nicobar Islands,3015
23-10-2021,Andaman and Nicobar Islands,2769
24-10-2021,Andaman and Nicobar Islands,285
25-10-2021,Andaman and Nicobar Islands,2493
26-10-2021,Andaman and Nicobar Islands,2424
27-10-2021,Andaman and Nicobar Islands,1780
28-10-2021,Andaman and Nicobar Islands,1760
29-10-2021,Andaman and Nicobar Islands,1555
30-10-2021,Andaman and Nicobar Islands,1495
31-10-2021,Andaman and Nicobar Islands,39
16-01-2021,Andhra Pradesh,4216
17-01-2021,Andhra Pradesh,5035
18-01-2021,Andhra Pradesh,2983
19-01-2021,Andhra Pradesh,13305
20-01-2021,Andhra Pradesh,10362
21-01-2021,Andhra Pradesh,9139
22-01-2021,Andhra Pradesh,10657
23-01-2021,Andhra Pradesh,14683
24-01-2021,Andhra Pradesh,3841
25-01-2021,Andhra Pradesh,15658
26-01-2021,Andhra Pradesh,737
27-01-2021,Andhra Pradesh,17383
28-01-2021,Andhra Pradesh,9544
29-01-2021,Andhra Pradesh,7104
30-01-2021,Andhra Pradesh,8924
31-01-2021,Andhra Pradesh,52
01-02-2021,Andhra Pradesh,19
02-02-2021,Andhra Pradesh,4
03-02-2021,Andhra Pradesh,27656
04-02-2021,Andhra Pradesh,27402
05-02-2021,Andhra Pradesh,30195
06-02-2021,Andhra Pradesh,27039
07-02-2021,Andhra Pradesh,3267
08-02-2021,Andhra Pradesh,14383
09-02-2021,Andhra Pradesh,12066
10-02-2021,Andhra Pradesh,10747
11-02-2021,Andhra Pradesh,8173
12-02-2021,Andhra Pradesh,8457
13-02-2021,Andhra Pradesh,16709
14-02-2021,Andhra Pradesh,3
15-02-2021,Andhra Pradesh,26087
16-02-2021,Andhra Pradesh,25050
17-02-2021,Andhra Pradesh,31971
18-02-2021,Andhra Pradesh,11187
19-02-2021,Andhra Pradesh,62467
20-02-2021,Andhra Pradesh,24783
21-02-2021,Andhra Pradesh,7756
22-02-2021,Andhra Pradesh,25463
23-02-2021,Andhra Pradesh,24976
24-02-2021,Andhra Pradesh,36844
25-02-2021,Andhra Pradesh,42860
26-02-2021,Andhra Pradesh,34580
27-02-2021,Andhra Pradesh,0
28-02-2021,Andhra Pradesh,0
01-03-2021,Andhra Pradesh,0
02-03-2021,Andhra Pradesh,28268
03-03-2021,Andhra Pradesh,22084
04-03-2021,Andhra Pradesh,25326
05-03-2021,Andhra Pradesh,35814
06-03-2021,Andhra Pradesh,50918
07-03-2021,Andhra Pradesh,160
08-03-2021,Andhra Pradesh,49838
09-03-2021,Andhra Pradesh,-145786
10-03-2021,Andhra Pradesh,40821
11-03-2021,Andhra Pradesh,8243
12-03-2021,Andhra Pradesh,48378
13-03-2021,Andhra Pradesh,43281
14-03-2021,Andhra Pradesh,809
15-03-2021,Andhra Pradesh,73980
16-03-2021,Andhra Pradesh,278174
17-03-2021,Andhra Pradesh,146885
18-03-2021,Andhra Pradesh,91083
19-03-2021,Andhra Pradesh,97088
20-03-2021,Andhra Pradesh,111870
21-03-2021,Andhra Pradesh,8690
22-03-2021,Andhra Pradesh,113647
23-03-2021,Andhra Pradesh,135824
24-03-2021,Andhra Pradesh,123171
25-03-2021,Andhra Pradesh,149319
26-03-2021,Andhra Pradesh,108961
27-03-2021,Andhra Pradesh,130497
28-03-2021,Andhra Pradesh,9905
29-03-2021,Andhra Pradesh,66106
30-03-2021,Andhra Pradesh,94648
31-03-2021,Andhra Pradesh,103400
01-04-2021,Andhra Pradesh,100552
02-04-2021,Andhra Pradesh,72826
03-04-2021,Andhra Pradesh,88290
04-04-2021,Andhra Pradesh,60731
05-04-2021,Andhra Pradesh,95246
06-04-2021,Andhra Pradesh,65103
07-04-2021,Andhra Pradesh,144093
08-04-2021,Andhra Pradesh,144357
09-04-2021,Andhra Pradesh,74739
10-04-2021,Andhra Pradesh,232131
11-04-2021,Andhra Pradesh,89222
12-04-2021,Andhra Pradesh,21210
13-04-2021,Andhra Pradesh,4850
14-04-2021,Andhra Pradesh,640237
15-04-2021,Andhra Pradesh,38686
16-04-2021,Andhra Pradesh,6280
17-04-2021,Andhra Pradesh,4138
18-04-2021,Andhra Pradesh,5156
19-04-2021,Andhra Pradesh,143566
20-04-2021,Andhra Pradesh,170773
21-04-2021,Andhra Pradesh,41094
22-04-2021,Andhra Pradesh,359437
23-04-2021,Andhra Pradesh,226893
24-04-2021,Andhra Pradesh,115088
25-04-2021,Andhra Pradesh,8775
26-04-2021,Andhra Pradesh,307441
27-04-2021,Andhra Pradesh,191610
28-04-2021,Andhra Pradesh,104256
29-04-2021,Andhra Pradesh,71892
30-04-2021,Andhra Pradesh,225193
01-05-2021,Andhra Pradesh,115263
02-05-2021,Andhra Pradesh,2028
03-05-2021,Andhra Pradesh,36442
04-05-2021,Andhra Pradesh,15261
05-05-2021,Andhra Pradesh,199197
06-05-2021,Andhra Pradesh,192881
07-05-2021,Andhra Pradesh,115113
08-05-2021,Andhra Pradesh,155581
09-05-2021,Andhra Pradesh,14892
10-05-2021,Andhra Pradesh,2086
11-05-2021,Andhra Pradesh,36121
12-05-2021,Andhra Pradesh,40495
13-05-2021,Andhra Pradesh,47551
14-05-2021,Andhra Pradesh,18941
15-05-2021,Andhra Pradesh,81041
16-05-2021,Andhra Pradesh,12429
17-05-2021,Andhra Pradesh,66898
18-05-2021,Andhra Pradesh,68451
19-05-2021,Andhra Pradesh,35699
20-05-2021,Andhra Pradesh,22838
21-05-2021,Andhra Pradesh,35280
22-05-2021,Andhra Pradesh,18834
23-05-2021,Andhra Pradesh,3991
24-05-2021,Andhra Pradesh,108340
25-05-2021,Andhra Pradesh,141626
26-05-2021,Andhra Pradesh,295185
27-05-2021,Andhra Pradesh,580175
28-05-2021,Andhra Pradesh,447723
29-05-2021,Andhra Pradesh,266874
30-05-2021,Andhra Pradesh,16654
31-05-2021,Andhra Pradesh,95823
01-06-2021,Andhra Pradesh,214668
02-06-2021,Andhra Pradesh,160427
03-06-2021,Andhra Pradesh,97459
04-06-2021,Andhra Pradesh,367109
05-06-2021,Andhra Pradesh,95412
06-06-2021,Andhra Pradesh,66149
07-06-2021,Andhra Pradesh,143650
08-06-2021,Andhra Pradesh,46374
09-06-2021,Andhra Pradesh,174808
10-06-2021,Andhra Pradesh,261637
11-06-2021,Andhra Pradesh,199929
12-06-2021,Andhra Pradesh,180760
13-06-2021,Andhra Pradesh,81502
14-06-2021,Andhra Pradesh,360756
15-06-2021,Andhra Pradesh,86980
16-06-2021,Andhra Pradesh,33532
17-06-2021,Andhra Pradesh,22802
18-06-2021,Andhra Pradesh,24765
19-06-2021,Andhra Pradesh,15767
20-06-2021,Andhra Pradesh,1437327
21-06-2021,Andhra Pradesh,70603
22-06-2021,Andhra Pradesh,46999
23-06-2021,Andhra Pradesh,33792
24-06-2021,Andhra Pradesh,312356
25-06-2021,Andhra Pradesh,121337
26-06-2021,Andhra Pradesh,301899
27-06-2021,Andhra Pradesh,41253
28-06-2021,Andhra Pradesh,225880
29-06-2021,Andhra Pradesh,294370
30-06-2021,Andhra Pradesh,314305
01-07-2021,Andhra Pradesh,281969
02-07-2021,Andhra Pradesh,346273
03-07-2021,Andhra Pradesh,109686
04-07-2021,Andhra Pradesh,18540
05-07-2021,Andhra Pradesh,122301
06-07-2021,Andhra Pradesh,51801
07-07-2021,Andhra Pradesh,42865
08-07-2021,Andhra Pradesh,39122
09-07-2021,Andhra Pradesh,36739
10-07-2021,Andhra Pradesh,193067
11-07-2021,Andhra Pradesh,108589
12-07-2021,Andhra Pradesh,303094
13-07-2021,Andhra Pradesh,232077
14-07-2021,Andhra Pradesh,450613
15-07-2021,Andhra Pradesh,90050
16-07-2021,Andhra Pradesh,261645
17-07-2021,Andhra Pradesh,233943
18-07-2021,Andhra Pradesh,23323
19-07-2021,Andhra Pradesh,148916
20-07-2021,Andhra Pradesh,238271
21-07-2021,Andhra Pradesh,118579
22-07-2021,Andhra Pradesh,170000
23-07-2021,Andhra Pradesh,148698
24-07-2021,Andhra Pradesh,92074
25-07-2021,Andhra Pradesh,5297
26-07-2021,Andhra Pradesh,1182626
27-07-2021,Andhra Pradesh,174575
28-07-2021,Andhra Pradesh,97538
29-07-2021,Andhra Pradesh,147630
30-07-2021,Andhra Pradesh,241358
31-07-2021,Andhra Pradesh,254780
01-08-2021,Andhra Pradesh,217817
02-08-2021,Andhra Pradesh,411723
03-08-2021,Andhra Pradesh,177206
04-08-2021,Andhra Pradesh,174121
05-08-2021,Andhra Pradesh,172074
06-08-2021,Andhra Pradesh,567969
07-08-2021,Andhra Pradesh,226916
08-08-2021,Andhra Pradesh,81787
09-08-2021,Andhra Pradesh,143889
10-08-2021,Andhra Pradesh,255353
11-08-2021,Andhra Pradesh,134628
12-08-2021,Andhra Pradesh,104947
13-08-2021,Andhra Pradesh,459664
14-08-2021,Andhra Pradesh,203866
15-08-2021,Andhra Pradesh,57399
16-08-2021,Andhra Pradesh,288744
17-08-2021,Andhra Pradesh,273444
18-08-2021,Andhra Pradesh,207657
19-08-2021,Andhra Pradesh,217295
20-08-2021,Andhra Pradesh,50623
21-08-2021,Andhra Pradesh,279979
22-08-2021,Andhra Pradesh,15879
23-08-2021,Andhra Pradesh,225103
24-08-2021,Andhra Pradesh,262166
25-08-2021,Andhra Pradesh,217710
26-08-2021,Andhra Pradesh,364682
27-08-2021,Andhra Pradesh,334957
28-08-2021,Andhra Pradesh,952809
29-08-2021,Andhra Pradesh,188638
30-08-2021,Andhra Pradesh,387154
31-08-2021,Andhra Pradesh,1245232
01-09-2021,Andhra Pradesh,330182
02-09-2021,Andhra Pradesh,134307
03-09-2021,Andhra Pradesh,100589
04-09-2021,Andhra Pradesh,126755
05-09-2021,Andhra Pradesh,37159
06-09-2021,Andhra Pradesh,722137
07-09-2021,Andhra Pradesh,182623
08-09-2021,Andhra Pradesh,53072
09-09-2021,Andhra Pradesh,36525
10-09-2021,Andhra Pradesh,12633
11-09-2021,Andhra Pradesh,873561
12-09-2021,Andhra Pradesh,1550629
13-09-2021,Andhra Pradesh,452396
14-09-2021,Andhra Pradesh,188938
15-09-2021,Andhra Pradesh,121153
16-09-2021,Andhra Pradesh,217657
17-09-2021,Andhra Pradesh,1253540
18-09-2021,Andhra Pradesh,183362
19-09-2021,Andhra Pradesh,19309
20-09-2021,Andhra Pradesh,817163
21-09-2021,Andhra Pradesh,395139
22-09-2021,Andhra Pradesh,154473
23-09-2021,Andhra Pradesh,283151
24-09-2021,Andhra Pradesh,112962
25-09-2021,Andhra Pradesh,65443
26-09-2021,Andhra Pradesh,160629
27-09-2021,Andhra Pradesh,579219
28-09-2021,Andhra Pradesh,326015
29-09-2021,Andhra Pradesh,759003
30-09-2021,Andhra Pradesh,275581
01-10-2021,Andhra Pradesh,618055
02-10-2021,Andhra Pradesh,486622
03-10-2021,Andhra Pradesh,79595
04-10-2021,Andhra Pradesh,369521
05-10-2021,Andhra Pradesh,172282
06-10-2021,Andhra Pradesh,120396
07-10-2021,Andhra Pradesh,188045
08-10-2021,Andhra Pradesh,697571
09-10-2021,Andhra Pradesh,602703
10-10-2021,Andhra Pradesh,134640
11-10-2021,Andhra Pradesh,402462
12-10-2021,Andhra Pradesh,500521
13-10-2021,Andhra Pradesh,406294
14-10-2021,Andhra Pradesh,456050
15-10-2021,Andhra Pradesh,41341
16-10-2021,Andhra Pradesh,285861
17-10-2021,Andhra Pradesh,38973
18-10-2021,Andhra Pradesh,750908
19-10-2021,Andhra Pradesh,280327
20-10-2021,Andhra Pradesh,396919
21-10-2021,Andhra Pradesh,896984
22-10-2021,Andhra Pradesh,453404
23-10-2021,Andhra Pradesh,432815
24-10-2021,Andhra Pradesh,332900
25-10-2021,Andhra Pradesh,542931
26-10-2021,Andhra Pradesh,554999
27-10-2021,Andhra Pradesh,518635
28-10-2021,Andhra Pradesh,552419
29-10-2021,Andhra Pradesh,475140
30-10-2021,Andhra Pradesh,420158
31-10-2021,Andhra Pradesh,45895
16-01-2021,Arunachal Pradesh,81
17-01-2021,Arunachal Pradesh,97
18-01-2021,Arunachal Pradesh,382
19-01-2021,Arunachal Pradesh,14
20-01-2021,Arunachal Pradesh,27
21-01-2021,Arunachal Pradesh,553
22-01-2021,Arunachal Pradesh,664
23-01-2021,Arunachal Pradesh,628
24-01-2021,Arunachal Pradesh,83
25-01-2021,Arunachal Pradesh,913
26-01-2021,Arunachal Pradesh,20
27-01-2021,Arunachal Pradesh,536
28-01-2021,Arunachal Pradesh,1472
29-01-2021,Arunachal Pradesh,636
30-01-2021,Arunachal Pradesh,385
31-01-2021,Arunachal Pradesh,34
01-02-2021,Arunachal Pradesh,143
02-02-2021,Arunachal Pradesh,0
03-02-2021,Arunachal Pradesh,90
04-02-2021,Arunachal Pradesh,1027
05-02-2021,Arunachal Pradesh,960
06-02-2021,Arunachal Pradesh,543
07-02-2021,Arunachal Pradesh,4
08-02-2021,Arunachal Pradesh,1146
09-02-2021,Arunachal Pradesh,27
10-02-2021,Arunachal Pradesh,64
11-02-2021,Arunachal Pradesh,843
12-02-2021,Arunachal Pradesh,801
13-02-2021,Arunachal Pradesh,1534
14-02-2021,Arunachal Pradesh,23
15-02-2021,Arunachal Pradesh,3288
16-02-2021,Arunachal Pradesh,112
17-02-2021,Arunachal Pradesh,6
18-02-2021,Arunachal Pradesh,3285
19-02-2021,Arunachal Pradesh,3561
20-02-2021,Arunachal Pradesh,256
21-02-2021,Arunachal Pradesh,0
22-02-2021,Arunachal Pradesh,2666
23-02-2021,Arunachal Pradesh,1540
24-02-2021,Arunachal Pradesh,24
25-02-2021,Arunachal Pradesh,2741
26-02-2021,Arunachal Pradesh,1656
27-02-2021,Arunachal Pradesh,0
28-02-2021,Arunachal Pradesh,0
01-03-2021,Arunachal Pradesh,0
02-03-2021,Arunachal Pradesh,4625
03-03-2021,Arunachal Pradesh,447
04-03-2021,Arunachal Pradesh,3461
05-03-2021,Arunachal Pradesh,3483
06-03-2021,Arunachal Pradesh,2020
07-03-2021,Arunachal Pradesh,59
08-03-2021,Arunachal Pradesh,2990
09-03-2021,Arunachal Pradesh,-8446
10-03-2021,Arunachal Pradesh,171
11-03-2021,Arunachal Pradesh,2834
12-03-2021,Arunachal Pradesh,2254
13-03-2021,Arunachal Pradesh,1380
14-03-2021,Arunachal Pradesh,72
15-03-2021,Arunachal Pradesh,3163
16-03-2021,Arunachal Pradesh,12026
17-03-2021,Arunachal Pradesh,466
18-03-2021,Arunachal Pradesh,3372
19-03-2021,Arunachal Pradesh,2487
20-03-2021,Arunachal Pradesh,2265
21-03-2021,Arunachal Pradesh,182
22-03-2021,Arunachal Pradesh,3241
23-03-2021,Arunachal Pradesh,2344
24-03-2021,Arunachal Pradesh,65
25-03-2021,Arunachal Pradesh,3298
